id,translation.pbb,translation.spa
3341,wa'lsa,desinclinado (adj)
3553,ya'pechcanu-,olvidarse (v.r)
441,cashish-,sacar (cosas o animales) (v.t)
2488,quiwe jyuca,mundo (m)
2236,pjach-,empapar (v.t)
3491,yachi- (yechi-),desangrarse (v.r)
2490,quiwe pwa',cobertizo (de tierra)
1590,"lem, lemtjẽ'j, shquiicy",amarillo (adj)
1311,"iipyãj-, piipyãj-",tener celos (v.i)
3310,wa'cj,musgo (m)
1632,maltyis,martes (m)
852,cũ'p-,enlazar (v.t)
114,ape-,agonizar (v.i)
1007,davy-,menear (v.t)
3460,we'tj,lanza (f)
1687,"mjīi, mjīini",trabajo (m)
1224,"fīsh, fynej",mosca (f)
2085,"peecy, peecy jīi",propio (adj)
2125,"pe'jrra u'j-, jyũna u'j-",llevar (v.t)
3299,"wãatãj-, (rep) wãatãtãj-",botar (v.t)
2565,"sha'cy, cha'cy, yu'sha'cy",lama (planta acuática) (f)
1859,nuytejca-,subir (v.t)
2699,squijw tuca,calabazo (para guarapo)
258,"caacpunga'j-, cpunga'j",hacer vomitar (v.t)
3395,weechi-,rechazar (v.t)
3722,ze'nze,planta (especie de) (f)
3528,ya'ja bite,jigra de colores
2022,pas-,comprometerse (v.t)
2580,"shã'py, chjã'py",horqueta (f)
2861,tjuse,chamiza (f)
3700,yuwe caaj-,mandar razón (v.t)
2267,pquīij-,producir (v.i)
2484,quiwe cuchi,pecarí (m)
377,cach-,posar (ave) (v.i)
1029,dund yuj,"a prisa, de prisa"
1497,jycuusa'j-,dejarse quitar
1507,jypa'yajcymẽe,descuidado (adj)
2094,peendu'j-,hacer rayas (v.t)
2772,tandy-,dar vuelta (a una cosa) (v.t)
3554,ya'pjupj-,protegerse (v.r)
3107,u'ju-,andar (v.i)
2086,"peecytuty, pquipja, teecjẽe.",boca abajo (adv)
403,cãja'j-,completar (v.t)
2940,tulu,toro (m)
2929,tu'ctu'c we'we-,en voz entrecortada
1339,ījpa-,disparar (v.t)
3530,yajcy-,atrapar (v.t)
372,caayu'ptje'j-,hacer cambiar (v.t)
1048,dyi'j,camino (m)
526,chijme,blanco (adj)
1690,"mjīte, mjīya, quīj yuupa'ga",por qué? (motivo) (interrog)
3513,yafy puuple,tuerto (m)
2869,tjũ'wẽ ya'qui,arete (m)
2613,"shi'ndy, chji'ndy",obscuro (adj)
3543,ya'luch,prole (f)
1663,men,hijo (menor de todos) (m)
2973,tut,puño (m)
2053,pchī',pavesa (f)
784,ctjengu'j,hacer mirar (v.t)
2867,tjũ'wẽ chica,cerumen (cerilla de los oídos) (f)
1782,nenga cuet,terrón (de sal)
1180,ewmẽe yuwe ũs-,acusar (v.t)
3703,yuwe ewũu-,reconciliar (v.t)
1440,ji'pjuni,bienes (m.pl)
3549,yap,envoltura (f)
1748,na'wẽ tjeng-,ser semejante a (v.i)
1630,macjue,"cuanto (distancia), ¿cuánto? (adv)"
2378,puuty uy-,encontrarse (v.r)
3298,waataani,abandonado (p.p)
619,cja'ty,cuero (m)
1100,ẽepyãj,mediodía (m)
934,cvis-,atacar (v.t)
1291,iica'cana us-,aglomerarse (v.r)
868,cuse chavy,músculo (m)
1236,fiy yuu-,cambiar de aspecto (v.i)
1132,"epsa, scuutyj dyi'tj ej",rastrojo (m)
3062,ũ',comida (f)
3760,C'hab wala kiwete wét u'hun'i's nwe'wena ikahsa kwekwe,Cuerpo de poder social protector del andar en armonía
2311,"pucate, pucasu, ju'ng",al lado de (adv)
18,ãandyija',evidentemente (adv)
3370,"wãyãy, wẽyīy",comadreja (f)
2089,peejyũcue-,arrodillarse (v.r)
3664,yu'shãpy,bifurcación (del río) (f)
636,cjicj-,poner (cosa larga) (v.t)
3539,"yajta-, (rep) ya'tata-",sacudir (v.t)
835,cu'jsa,"bailador (m,f)"
2526,sec cãani,"oriente, este (m)"
3469,weysã,"comprador (m,f)"
1074,"eca, ecaj",fuera de (adv)
1936,ñusu en,duelo (m)
1847,nuyle'chi-,achicar (v.t)
1962,pãatyjī'cj-,presentar queja (v.t)
1000,cyuupu'j-,hacer atajar (v.t)
199,"bajy, wajwa",tibio (adj)
532,chinda,pierna (f)
665,cjumbe-,arrancar (v.t)
3689,yuuta-,llenar (v.t)
1533,"jytu'cj-, putu-",atragantarse (v.i)
2619,shita,armadillo (m)
2287,pta'nza'j-,contaminar (v.t)
861,cu's-,exprimir (v.t)
1709,muuse'j-,desmenuzar (v.t)
2395,pwa',cobertizo (m)
2381,puuty we'we-,conversar (v.i)
2747,"swejnde-, (rep) swendende-",perforar (v.t)
55,afy,guama (fruta) (f)
2417,quichja'j-,causar agriera (v.t)
193,bagachteva,siempre (adv)
1915,ñus wala,aguacero (m)
1599,llima,naranja (f)
2641,"shũ'tete-, shũ'wete-",desgarrarse (v.i)
3477,yaanz-,cubrirse (con cobija) (v.r)
2093,peenda-,ocultar (v.t)
3436,wenze,marteja (nono nocturno) (f)
36,"acha, acha acha",ligero (adv)
2923,"tu'ca-, (rep) tu'caca-, tucaaca-. pu'tata-",tocar (la puerta) (v.t)
3246,vicysa,cazador (m)
2643,shũu,soso (adj)
2418,quiica'j-,hacer golpear (v.t)
3091,ujca-,trillar (v.t)
1202,"fiina, (rep) finfiina-",ahorrar (v.t)
3761,Ikah kiwe,territorio de mando
3292,vyuu chijme,plata (metal) (f)
1587,lẽeya' jiimeesa,analfabeto (m)
3712,"yuwe, we'weni",palabra (f)
577,chũpy,orejudo (adj)
3030,tyity wala,ciénaga (f)
207,beca pus,chicha fermentada
3096,ujnde-,"cosechar (fríjol, café)"
2033,payãa,papaya (f)
3410,wẽje-,tener hambre (v.i)
67,ãjmẽe,insuficiente (adj)
3357,"wa'tsju-, (rep) wa'tsju'ju-",aplastar (v.t)
1363,ipy tyjic,tizón (m)
2502,"-rrava,-teva",aunque (conj.advers)
2579,shã'py-,tener vástago (v.i)
858,"cupy-, tupy-",descascarar (v.t)
1195,"fiesta vit-, fiesta'j-, caascjẽu'j-, yu'scjẽw-",celebrar fiesta (v.t)
2807,tecja,teja (f)
1372,isa-,probar (v.t)
2962,"tupj , le'le",húmedo (adj)
412,calderu,caldera (f)
1343,ime,excremento (m)
1673,micu,mono (animal) (m)
3525,ya'ja,jigra (f)
3120,umnisa,tejido (p.p)
688,clliicjun,calle (f)
1111,ejy,peña (f)
1952,paapẽjy-,consultar (v.t)
1956,paatj-,"poner (freno, alpargatas) (v.t)"
2572,"shamb, chjamb",pueblo (m)
1207,fi'l,perdiz (ave) (f)
2295,ptenzũu,tijeras (f.pl)
1633,mama,mamá (f)
1058,"dyijca, catyj",activo (adj)
1337,ij fi'nze-,cohabitar (hacer vida marital) (v.t)
588,"cjach, tama",tamo (m)
1929,ñusha tel,trapiche de mano
2257,"pland, tlu (T)",plátano (m)
1151,e'shi'j-,tener hipo (v.i)
2330,"pujnza-, jypunza-",terciar (v.t)
3215,ũuseweete,aliento (m)
656,cjũchcjũch tsẽy,azul subido
2481,quiwe,suelo (m)
3577,"yat pwa', cneetul (T)",corredor (de una casa) (m)
945,"cweeji'j-, cwe'lli'j-",endurecer (v.t)
1410,jetu'tu-,sollozar (v.i)
125,aqui'p-,poner (encima de)
1675,milinu,molino (m)
1284,i'cue jīi,suya (de usted) (pron.pos)
2293,pteenz,estrecho (adj)
3687,yũunani,ayuno (m)
2803,"-te,-ca,-ga",en (prep)
1342,ime,estiércol (m)
953,cwẽetes,cohete (m)
1659,mem,canción (f)
2346,pu'quitj-,plantarse (v.r)
2965,tupy-,ladear (v.t)
1643,mdeegã,manteca (f)
1079,ech pijts,viudo (m)
1377,īshiina nuywe'we-,chlsmear (v.t)
3196,uujsã,sembrador (m)
2846,tjeng-,cuidar (v.t)
1701,mum tuca,tarro de guadua (m)
3447,wẽse,fleco (borde de la ruana) (m)
3538,"yajpe-, (rep) yapeepe-",probar (un alimento) (v.t)
3218,ũusutjeni,conciencia (f)
2051,"pchatj-, paand-",poner atravesado (v.t)
3720,zec,filo (m)
1821,ntsu'wa,"cuñada o cuñado (entre mujer y hombre)(m,f)"
3244,vichacue yat,nido de pájaro
2742,"suw-, pemba-",destruir (v.t)
3190,ũucj-,tener miedo (v.i)
1381,īts,nariz (f)
3290,vyuu bee altal,altar hecho de oro
2838,tjee,calabacita (f)
2897,tsjītsj,paja (f)
2442,qui'na,caída de agua (f)
1812,"nmi' ji'pjmeesa, imi'meesa",soltera (f)
3287,vyu,dinero (m)
690,cluus,cruz (f)
3502,ya'ducj-,entregarse (v.r)
1115,ẽjya cu'ta,rama (de arbusto)
69,ãjmẽe yuu-,ser indigno (v.i)
1154,e'stewe'sh,siguiente (adj)
3698,yuwe,idioma (m)
250,caacjacje'j-,hacer asar (v.t)
95,ã'mush,Vía Láctea (f)
458,cãwũjw-,sacudir (v.t)
1975,paaya'ducj-,entregarse voluntariamente (v.t)
485,cchjãachja'j-,fortalecer (v.t)
1678,mish pembẽe-,maullar (v.i)
47,acjus,ajo (m)
3100,ujne,hongo (m)
1327,"iiwees-, (rep) iiweesu's-",moler finito (v.t)
3381,wecháa-,saludar (v.t)
146,a'te tjẽ'j,luna llena
3224,uwe-,prender (coger preso) (v.t)
1986,"pa'cj- (pã'cj-), pjulaī-",remendar (v.t)
136,atall pijts,gallo (m)
2608,shi'ndy- (chji'ndy-),anochecer (v.i)
1148,"ẽsh pe'tse-, ẽsh ũ'we-",mascar coca
1215,"fi'nze-, cus-",atardecer (v.impers)
142,atatelem,amarillento (adj)
901,cútete,al lado opuesto
3734,zunz,angosto (adj)
2820,"tejca-, iitejca-, iictejca-",subir (v.i)
3116,"ulu'j-, yuulu-",deber (tener deuda) (v.t)
3261,"vite enejẽ, vite cuscay",pasado mañana (adv)
539,"chinda vyllill, chinda vi'y a (T)",dedo del pie
48,a'cy-,colgar (v.t)
3738,zupy,polilla (insecto) (f)
94,amu,patrón (m)
2189,petya-,pegar (con la nano) (v.t)
774,cshiica'j-,hacer reír (v.t)
1267,fytũupatj,cerbatana (f)
582,chwatyj,carángano (Insecto) (m)
849,cunzha,cuchara (hecha de calabaza)
2139,"pelu-, (rep) peíuulu-",rodar (caer dando vueltas) (v.t)
2980,"tũtsa, tsute wala",muela del juicio (f)
653,cjũch ji'j,moreno (raza) (m)
3285,vyllill,uña (f)
2320,pucyte,cuesta arriba
1692,msuu,por donde
2959,"tũpil, ultũpy",ciempiés (m)
2979,tũts,chamón (ave) (m)
1478,"jya'ndy-, (rep) jya'ndyi'ndy-",tocar (v.t)
1854,nuypusu-,permitir fermentar (v.t)
2538,seelpimeesa,inútil (adj)
717,cpaacyjiyu-,lograr entender (v.t)
281,caamba'j-,casar (al hijo) (v.t)
2026,"patee-, atsjute-, jypajnde-, yaatsjunde-",zafarse (v.i)
894,cusīi,por la mañana
422,ca'nd-,mezclar (v.t)
446,catj,tirante (pieza de la armadura del tejado) (m)
3345,wat,caripaspada (de mejillas rosadas) (adj)
361,caaviitse'j-,hacer unir (v.t)
3426,wendy,"pescado, pez (m)"
2507,"sa'j-, jysa'j-",desmontar (v.i)
2470,quītj ej,sembrado de maní
1556,jyu'ja-,crecer (pelo) (v-i)
1089,"ee cuet, ee lul",coágulo (m)
1843,nuycjẽj-,rebajar (precio) (v.t)
245,cããajã'j-,aumentar (v.t)
1653,meetjacue,lomo de machete (m)
1076,"ecajuwe'sh, vite quiwejuwe'sh",extranjero (m)
2290,"pta'sh-, vijya-",señalar (v.t)
633,cjẽj-,bajar (hacia abajo) (v.i)
3014,tyachmẽe,hace poco tiempo
2792,tatawe'sh,padres (padre y madre) (m.pl)
683,cla's cu's-,ordeñar (v.t)
1044,dyiicjẽy,antemano (adv)
2247,pjeu'j-,preparar (v.t)
2449,qui'p-,poner (v.t)
3744,peek' ijushu yaak'n'i,pensar o sentir por sí mismo con su corazón
3250,vijcy-,cazar (v.t)
1573,lasu,lazo (m)
1155,"e'stewe'sh, nuuch, nuuchsa",menor (de edad o en importancia) (adj)
1997,pa'j,hasta (indica lugar) (prep)
520,chicãa-,gorgorearse (v.r)
212,beecãj-,sonrojarse (v.i)
2601,"shijca-, (rep) shicaaca-",reír (v.r)
800,cuchi,marrano (m)
743,cpẽu'j-,hacer bañar (v.t)
1535,jytujte,famoso (adj)
3267,vits,punta (f)
1947,paandej-,pernoctar (v.i)
2723,sus we'we-,en voz alta
1814,npeefynicy-,trastear (v.t)
2713,"sund (tsund-), quityji-",gotear (v.i)
255,caacmbeesa'j-,hacer confesar (v.t)
2001,pajnz,cuatro (adj)
3631,yu'cuet,hielo (m)
824,"cuetpũts, vyuutyjã'",chuleo (planta) (m)
2825,"tjãasnl, jytjãasni",deseo (m)
3207,"uusãa, uunī",muerto (adj)
1768,neeney yuju-,ser padrino (v.i)
228,buc,panzón (adj)
643,cjimb-,desatar (v.t)
2642,shũu,desabrido (adj)
1522,jysaacuecue-,sacudirse (v.r)
3368,"wa'wa, chimbyni",podrido (p.p)
1485,jycaajsa,gobernante (m)
3643,yul ducj-,abonar (acreditar a la cuenta) (v.t)
3033,tyjã',repollo (m)
724,cpaasu'j-,permitir contestar (v.t)
1509,jype'j-,criar (a un huérfano) (v.t)
2299,ptsu-,acabarse (v.i )
763,cseelpi'j-,ocupar (v.t)
3110,ul,bobo (adj)
3402,weeswẽe,feroz (adj)
3005,"twajca-, (rep) twaaca'ca-",trozar (v.t)
1702,mum yu'cj,guadual (m)
2561,"shaacue we'we-, pjay we'we-",bromear (v.i)
1049,dyi'j,vía (f)
620,cja'ty,piel (f)
519,chica,gorgojo (m)
477,cbeele'j-,suspender (colgado) (v.t)
3380,wecha yuja,alegría (f)
991,cytemũu-,apretar (v.t)
571,chunda,chonta (f)
2787,tã'sh,tronco (de árbol) (m)
3790,nasasa (ikah) kiwe,"territorio propio de poder, mando indígena"
1152,e'shwee,tosferina (f)
2999,tuutje'j-,honrar (v.t)
1175,ewmẽe,mal (adv)
1118,ele,cosquillas (f.pl)
208,beca yat,chichería (f)
1683,mjīi-,trabajar (v.t)
1156,e'su,después (adv)
1762,nee,todavía (adv)
2889,tsinz dyi'tj,espina dorsal (f)
392,cafi'j-,cavar (v.t)
3052,tyutẽe-,alejarse (v.r)
3731,zu'cy-,atascarse (v.r)
2701,"stende-, (rep) stendende-",rasgar (v.t)
2964,tupy,revés (m)
2751,taacy wendy,renacuajo (m)
148,"ate, tsejc",limpio (adj)
580,chwa',sombrero (m)
1144,ẽseya' ãjasamẽe,paralítico (adj)
2308,pucacuet,cachete (m)
723,cpaapta'sh-,lograr avisar (v.t)
1424,jimba chinda pẽty,cuartilla (del caballo) (f)
2239,pjande-,destapar (v.t)
473,caywẽtu'j,hacer sanar (v.t)
1973,paawe'we-,encargar (v.t)
1624,maa,"cual, ¿cuál? (pron)"
2410,pyũuscue-,rabiarse (v.i)
2927,tucj,pus (m)
3074,ũ'cj-,moler (v.t)
2371,puuty,recíprocamente (adv)
215,bej-,arder (v. i)
2545,sejẽw-,pasar hacia abajo
3249,viitsu-,"espigar, echar espigas (v.i)"
388,cafẽ,café (m)
3594,yaya-,temblar (persona) (v.i)
982,cytala,guitarra (f)
1344,"indy jīi, i'cue jīi,",para ti
1340,ilu,hilo (m)
3322,wãjy,hiel (f)
1005,daaquī,"Andaquí (indígenas de Huila) (m,f)"
1227,fitsj,"cuí, conejillo de Indias (m)"
3450,wẽsẽ'jsa,"oyente (m,f)"
37,achamẽe ew,inferior (adj)
2224,pi'pyshavy,Pijao (tribu indígena) (m)
3283,vyllill,"dedo (medida, el ancho de un dedo) (m)"
747,cpi'sh cuejne-,relámpago (m)
3501,ya'cysus-,ser nombrado (v.i)
3228,"uwe-, pu'uwe-",coger (v.t)
1043,"dyii, jyu'j",hondo (adj)
3396,wẽepang-,demostrar tener hambre (v.i)
1654,meetu'j,intestlno (m)
1708,mutyi,mote (m)
3427,wendy-,gustar (v.i)
3441,we'pe,páramo (m)
2190,petyi'j-,sacar muesca (v.t)
3361,watycue yuu-,volverse perezoso (v.i)
679,claapatu,garabato (m)
2203,"pi'cyna u'jusa, paau'jsa","acompañante (m,f)"
944,"cwẽeje'j-,",causar hambre (v.t)
3470,wũw-,mecer (v.t)
1949,paandlẽ,panderé (árbol) (m)
1404,jemb-,"izquierdo, a (adj)"
1873,nwe'sh we'we-,tratarse como parientes (v.t)
1447,"-ju,-u,-uj","de, desde (prep)"
3194,uucue'j-,aplanar (v.t )
2076,pechu,pecho (m)
548,chjãchja yajcy-,confiar en (v.t)
2301,ptsuuts,tía con sobrino o sobrina
738,cpãyũusa,herido (m)
3083,ucue quiwe,valle (m)
1496,jycuet dyi'tj,cráneo (m)
395,cafy,hoyo (m)
1409,jẽp,yerba (que enloquece) (f)
2362,putste,"borde, al borde de (m)"
1122,en ewuu-,hacer buen tiempo (v.i)
1160,ets,papel (m)
3352,wa'ta'jni,ensillado (adj)
1559,jyu'nde,liso (adj)
1182,"ewmeesa, canzh",malo (adj)
593,cjalma,enjalma (f)
2995,tuupja'j-,remojar (v.t)
3555,yapni,envuelto (p.p)
3053,tyutẽe-,apartarse (v.r)
3113,ulchic,urraca (ave) (f)
308,caapenda'j-,permitir enterrar (v.t)
1012,"deeni, deeni ũsa'",dormido (p.p)
1872,nwẽese'jmẽe-,hacer caso omiso (v.t)
43,acj-,echar (v.t)
3397,wẽepang-,estar hambriento (v.i)
1428,jimba ji'mbe,anca (de caballo) (f)
373,caayuwewu'j-,hacer reconciliar (v.t)
2506,sacue,palo del telar (sostiene el ñuwe) (m)
2676,sñal,cicatriz (f)
3463,we'we-,hablar (v.i)
1951,paanwe'we-,intervenir (v.t)
46,"a'cji'j-, waacji'cj-",pisar (v.t)
3168,uta,lleno (adj)
3742,hu'gthé' yacka thé'we's' nv'itn'i,antiguedad dejada por los primeros mayores
2492,quiwe tujnd,polvo (del camino)
603,cjas,vello (m)
3621,"yu'chafy-, yu'spẽ'tj-",tropezar (v.i)
1301,iindeweni,callo (m)
1634,mama lula,bisabuela (f)
3259,vite',y (una lista)
3735,"zunz, zunzcuẽ",agudo (tono) (adj)
2394,pu'yacjsa,reemplazo (m)
1125,enda-,flotar (v.i)
1379,īshiisa,mentiroso (adj)
3696,yuwe,asunto (m)
2456,qui'spyãj,mitad de semana
2095,peendyiqui,almohada (f)
1562,jyutcjamb,salvia (planta medicinal) (f)
1252,fytũ,garrote (m)
695,cmbale,compadre (m)
2785,tash,mata (f)
3265,vitrra nvijt-,designar (nombrar a un puesto) (v.t)
1602,lllnderu,lindero (m)
2536,secũu,hacer sol (v.i)
1494,jycjẽe-,tragar (v.t)
1613,luuch le'chcue,criatura (f)
3037,"tyjicj dyi'tj, tyjicj shbimby",nuca (f)
1255,fytũ cu'ta,rama (de árbol) (f)
455,"catyji-, chjãchja-, case-",mejorar (de una enfermedad) (v.i)
2340,punza,esquina (f)
1884,nyafiitey,anteriormente (adv)
41,acj,gripe (f)
106,anzẽe- (enzẽe-),reclinar (v.t)
2240,pjanden i,abierto (p. p)
1801,nish dej- (lit. pulpa duerme),entumirse (v.r)
313,"caapiya'jsa, peevya'sa (T)",maestro (m)
507,chang,escoplo (herramienta) (m)
2887,tsẽytsẽy chijme,azul claro
2614,"shi'ndy, chji'ndy",tinieblas (f.pl)
133,"at-, yaat-",llevar en la mano
1840,nuycase-,aliviar (v.t)
1191,ewũu-,componerse (v.i)
2998,tuutje'j-,alabar (v.t)
966,"cyãa, tyãa",él (pron.pers)
910,cutyj ej,maizal (m)
919,cuvy,flauta (f)
3332,wala pa'ga,caro (adj)
453,ca'tu tupyrra,al revés
1693,"mtee, mcaa, mdyi i, msuu","adonde, ¿adonde? (adv)"
163,a'tsja-,cernir (v.t)
3724,"zi'nzi-, sndaanda-",zumbar (v.i)
1571,"lashi- , lajcy-, nuylajcy-",aflojar (v.t)
3330,wala,"mucho (adj, adv)"
1636,manga,manga (corral para bestias) (m)
1953,paapẽjy-,preguntar (v.t)
31,acha,ardor (m)
1127,e'nz e'nz,de dos en dos
2052,pchī',mecha (f)
2957,tupa,araña (f)
799,cuchi,cerdo (m)
3149,ũs-,estar (v.i)
1088,ẽe cjũch,mal agüero (nube negra) (m)
2137,peltunaī-,perdonar (v.t)
1541,"jytyunde-, (rep) jytyundende-",repartir (v.t)
2938,"tujnd, tujndtujnd",despacio (adv)
1572,lashnu,durazno (m)
3300,"wãatãj-, (rep) wãatãtãj-",tirar (arrojar con la mano) (v.t)
1300,iindeewe-,defenderse (v.r)
596,cjalma spajcy-,desenjalmar (v.t)
517,"chcate- (shcate-), upe-",quebrarse (v.r)
2603,shimb dyi'tj,tallo de maíz (m)
1389,iviit-,perder (v.t)
2593,"shcate- (chcate-), (rep) shcate'te-",fracturar (v.t)
1657,mell,viejo (usado) (adj)
615,cjash yu',chicha de maíz
753,cpun,jabón (m)
667,cjumbete-,desarraigarse (v.r)
2503,"sa‘, atsa'",y (conj)
2696,"spund-, tspund-",torcer (v.t)
3616,yu'ãsh-,meter debajo de (v.t)
434,capla,cabra (f)
2016,pãpa-,pegar (con palo) (v.t)
3071,ũch-,defecar (v.t)
2894,tsja'ya-,extender los brazos (v.t)
1676,mish,gato (m)
1011,deeni ũs-,estar dormido (v.i)
1220,finzh,guacharaca (ave) (f)
83,almun,almud (m)
3095,"ujnd-, (rep) unduund-",quebrar (v.t)
365,caawãshi'j-,atemorizar (v.t)
2798,taw,chumbe (m)
673,cjyu'ja'j-,dejar crecer el pelo (v.t)
2775,tandyīi-,rodar (v.i)
3461,wẽtmẽe,desagradable (adj)
2081,peecjicj-,alumbrar (v.t)
367,caawũwu-,cabecear (v.i)
2145,pembẽe-,gemir (v.i)
2877,tsalli'll,gavilán (m)
3497,ya'cpajcy-,dejarse alcanzar (v.r)
1589,"lem yuu- , lemũu- shquiicy yuu-",ponerse amarillo (v.i)
419,"camba-, ptamu-",casarse (v.r)
1791,niimal,animal (m)
2281,pshu,sombra (f)
259,caacpũushi'j-,hacer regar (v.t)
2277,psha'nd-,abrazar (v.t)
2709,sũj-,suponer (v.t)
1454,"jũ'na, ũ'na",ayer (adv)
1225,fitscu'ng,nudillo (yerba) (m)
2724,susmẽe we'we-,cuchichear (v.i)
2073,peãsh-,regar (granos)
1423,jimba apj,tábano (m)
921,cuvysã,flautista (m)
1944,"paandee yat, pa'j yat",posada (f)
1341,ilu watsu-,ensartar (v.t)
770,"cshavyte, cshavysu, pyãjte",en medío de (adv)
671,"cjuuts, ũpacjuuts",pólvora (f)
1158,ets,hoja (de papel)
992,cytey yuu-,cumplir (v.t)
1759,ncuutyi'j-,sacar sin permiso
276,caaja'nda'j-,comparar (v.t)
1911,ñus cnay-,padecer (tristeza) (v.i)
1093,"ẽeīi, cusīi",temprano (adv)
2207,piisani,dibujo (m)
639,cjicy-,aclarar (día) (v.i)
3325,wãjy chanzhãa-,fumar (v.t)
375,"cabilduwe'sh, cjũeswe'sh",cabildante (m)
694,cmale,comadre (f)
3544,"yamu-, iiyamii- (iinamu-)",adueñarse (v.r)
2479,quityji-,echar gotas (v.t)
3605,ye'tsje-,sentir (cuando otro le toca) (v.t)
3127,ũ'nisa,comestible (adj)
904,cutyj,maíz (m)
1493,"jycja'ctende-, jycja'cunde-",librarse (desechar una acusación) (v.r)
231,bu'ch,planta medicinal (f)
1036,dycjas,pelo (m)
3768,eena' eena' kafi'ze'n'i,hacer la permanencia en la luz
2329,pujnza-,llevar terciado
2141,pemba- (pamba-),"acabar (comestible, medicina) (v.t)"
3240,-va,también (adv)
2315,pu'chsa,ayudante (m)
2278,pshiica,risueño (adj)
1514,jypey-,apuntar (un arma) (v.t)
3279,vyaamẽe-,desaparecer (v.i)
2256,pland sinzha,cincho (del plátano) (m)
1861,nuytuw-,acortar (v.t)
3458,wete-,caer (v.i)
3701,yuwe cjas,barba (f)
591,"cjã'cjã, cjã'ng",hormiga (f)
1157,"e'su, e'ste",atrás (adv)
1824,ntyi'nsa,cuñada (entre mujeres) (f)
3686,yũuna-,ayunar (v.i)
793,cu'ch-,desmoronar (v.t)
537,chinda pjapj,planta del pie (f)
1162,e'tscuẽ,chupaflor (ave) (m)
797,cuch we'we-,molestar (con hablar) (v.t)
3776,ikahn'i kwewesu ucheena,vincularse en las Corporaciones Públicas
1185,"ewna jí-, ewa' j í-",aprobar (v.t)
3602,"yeetse-, cumãa-",tener frío (v.i)
1658,mellisu,mellizo (m)
1988,pacue-,buscar (v.t)
1200,fīicunde-,quitar sombrero (v.t)
2058,"pcjaacje-, peecjacje-",juntarse (v.r)
3704,yuwe pu'ch-,abogar (v.t)
101,"andy, ũ'cue","mí, mis (adj.pos)"
3356,wãtsja-,pellizcar (v.t)
364,caawa'qui'j-,hacer masticar (v.t)
335,caashi'j-,hacer encarcelar (v.t)
1925,ñusha cja'ty,bagazo (m)
2373,puuty pdyi'p,cara a cara
2046,pcaw-,derramar (v.t)
2550,sembu'j-,plegar (v.t)
2334,pumba'jni,cámara lateral para enterrar (f)
123,ã'pjy-,empollar (v.t)
50,a'cyni,colgado (p.p.)
1245,fycach,amero (m)
2202,pi'cyna u'j-,acompañar (v.t)
3216,ũuspa'-,asfixiarse (v.r)
1188,ewte neeyũu-,salvarse (v.r)
626,cja'tyinde-,desprender (v.t)
2355,putasã,olor (m)
1918,ñus yajcy-,sentir triste (v.t)
2529,sec cjẽeni,"occidente, oeste (m)"
1307,iipe'j-,responsabilizarse (v.t)
2712,sulu,zorro (m)
2907,tsut-,"dar fruto (trigo, maíz)"
1527,jytẽeyũu-,atrasarse (v.r)
726,cpaawenzh-,lograr halar (v.t)
3523,"yaj, yu'cj wes",bejuco (m)
3309,wã'chja,gargantilla (f)
390,cafẽ vis-,limpiar café
658,cjũchji-,negrecer (v.i)
2700,"stela, mastela (T)",estera (f)
451,catsni,costura (f)
2632,shuma,ardilla (f)
2640,shũ'sh-,arrugar (v.t)
1228,fīty-,despertar (v.t)
1927,ñusha ej,cañaduzal (m)
1374,ishīi-,mentir (v.t)
2035,paypwesa,juguetón (m)
40,acj,catarro (m)
956,cweetjnisa,iluminación (f)
2231,pitstjẽ'j,hombre (m)
3748,h'iikh,lo que enlaza diversas partes
3178,utya,junto a (adv)
2367,puuquiwe-,emprender (v.t)
687,cleecytul (T),inspector (m)
669,cjuuts,ceniza (f)
15,"ãacjẽrráa ew we'wesa, ũuste yu' ewmẽe yaacysa",hipócrita (m)
2462,quite,flor (f)
2412,quẽese'j-,agitar (v.t)
2300,ptsun,abuelo o abuela con nieto o nieta
616,cjashi'j-,hacer mazamorra (v.t)
2472,qui'tj wala,muela (f)
515,"chawee, seccuet",chiharra (insecto) (f)
1629,ma'c yuu...ma'c yuu,o...o (conj)
2064,"pcyuu-, (recip) puuty ya'pcyuu-",agredir (v.t)
2566,shal,teñidero (árbol) (m)
1179,"ewmẽe yuu-, pcalte wete-",pecar (v.i)
2556,setlu,cedro (m)
81,alcalte,alcalde (m)
2544,"sẽ'j , cwẽesẽ'j",barbasco (m)
2065,pcyuuni,maltrato (m)
1982,pachíi-,agarrar (con las uñas) (v.t)
783,ctjeetje'j-,mandar lavar (v.t)
759,cpu'quitje'jwa'jsa,puntal (m)
2987,tuty jya'ndy-,partear (v.t)
3561,yase-,bautizar (v.t)
707,cndul,cóndor (m)
1921,ñusha,dulce (adj)
975,cya'patje'j-,hacer cubrir (v.t)
382,cachu,cuerno (m)
469,caytjame'j-,causar pena (v.t)
129,ã'sh,rascadera (f)
1666,menzũ-,andar atrás de (v.i)
1980,"pach-, (rep) pachi'chi-",rasguñar (v.t)
1055,dyij yuusã,hechicero (m)
1334,iiwejtse-,arraigar (echar raíces) (v.i)
1939,ñutyji-,moquear (v.i )
2155,"penzh, penzhcuẽ",vieja (adj)
268,"caafi'ze'j-, cfi'nze'j",hacer vivir (v.t)
1471,jweete ntsun,biznieto (m)
