nasa_yuwe,nasa_yuwe_raw,spanish,english,pos,semantic_domain,notes,sources,n_sources
mem,mem,"el canto, la canción",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mem ets,mem ets,cancionero (m),,,,,"broomva_validation,paper_2024",2
mem-,mem-,cantar (v.t),,,,,"broomva_validation,paper_2024",2
"mem-, memúu-","mem-, memúu-",cantar,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
men,men,"el último hijo, a",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mend,mend,¡Quiébrelo!,,imp,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mende,mende,¡Coséchelo!,,imp,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
menz,menz,la cola,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
menz shã'py,menz shã'py,"el cangrejo, alacrán (arácnido)",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
menz shã’py,menz shã’py,"el cangrejo, alacrán (arácnido)",,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
menzu-,menzu-,1. agarrar por la cola; 2. (fig) fingir ser partidario de,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
menzucue,menzucue,avispa,wasp,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"menzucue, shita, ánwése","menzucue, shita, ánwése",avispa,,,,,paper_2024,1
"menzucue, shita, ãnwẽse","menzucue, shita, ãnwẽse",avispa (f),,,,,broomva_train,1
menzú-,menzú-,andar atrás de,,,,,paper_2024,1
menzũ-,menzũ-,andar atrás de (v.i),,,,,broomva_train,1
mercau,mercau,mercado,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
meshish,meshish,el hongo (planta),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mestlu,mestlu,"el brujo, hechicero",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mestláa-,mestláa-,hacer un rito (brujo),,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,paper_2024,swarthmore_talking",3
mestlãa-,mestlãa-,hacer brujerías (v.i),,,,,broomva_test,1
"me’ca, me’cawe","me’ca, me’cawe",¡Entre!,,imperative,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
me’cy,me’cy,el hígado,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
me’cyshũ,me’cyshũ,el pulmón,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"me’j, me’jwe","me’j, me’jwe",¡Vaya!,,imperative,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"me’ju, me’juwe","me’ju, me’juwe",¡Ande!,,imperative,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"me’m-, me’mu-","me’m-, me’mu-",retorcer,,verb transitive,,Hablante: Francy Yanet,swarthmore_talking,1
"me’p, me’pwe","me’p, me’pwe",¡Que esté!,,imperative,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
me’sucue,me’sucue,el culantro (planta),,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
micu,micu,"el mono, mico (mamífero)","monkey, marmoset, Mico genus",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024,swarthmore_talking",5
mielcules,mielcules,el miércoles,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mil,mil,"la miel, guerapo de caña sin fermentar",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024,swarthmore_talking",4
milinu,milinu,molino (m),,,,,"broomva_train,paper_2024",2
mish,mish,gato,cat,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mish jamby,mish jamby,gato montés (m),,,,,"broomva_train,paper_2024",2
mish pembée-,mish pembée-,maullar,,,,,paper_2024,1
mish pembẽe-,mish pembẽe-,maullar (v.i),,,,,broomva_train,1
mituj umsá,mituj umsá,alfarero,,,,,paper_2024,1
mituj umsã,mituj umsã,alfarero (m),,,,,broomva_validation,1
mityj,mityj,la olla,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mityj tjũ'wẽ,mityj tjũ'wẽ,orilla de la olla,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
mityj tjũ’wẽ,mityj tjũ’wẽ,orilla de la olla,,sustantivo,,Hablante: Francy Yanet,swarthmore_talking,1
mityj um-,mityj um-,fabricar vasijas de barro,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mityj umsá,mityj umsá,el alfarero,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mityj yuc,mityj yuc,asentadero de la olla,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mityjáj-,mityjáj-,cocinar,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mjíi ej,mjíi ej,campo,,,,,paper_2024,1
mjíi en,mjíi en,días hábiles,,,,,paper_2024,1
"mjíi, mjíini","mjíi, mjíini",trabajo,,,,,paper_2024,1
mjíi-,mjíi-,trabajar,,,,,paper_2024,1
mjíisa,mjíisa,obrero,,,,,paper_2024,1
"mjíte, mjíya, quíj yuupa'ga","mjíte, mjíya, quíj yuupa'ga",por qué?,,,,,paper_2024,1
mjĩi,mjĩi,"el trabajo, empleo",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mjĩi ej,mjĩi ej,"finca, campo",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mjĩi en,mjĩi en,días hábiles,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mjĩi-,mjĩi-,trabajar,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mjĩini,mjĩini,trabajo,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mjĩisa,mjĩisa,el trabajador,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"mjĩte, mjĩya","mjĩte, mjĩya","¿por qué?, ¿para qué?",,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mjīi ej,mjīi ej,campo (de trabajo) (m),,,,,broomva_train,1
mjīi en,mjīi en,días hábiles,,,,,broomva_train,1
"mjīi, mjīini","mjīi, mjīini",trabajo (m),,,,,broomva_train,1
mjīi-,mjīi-,trabajar (v.t),,,,,broomva_train,1
mjīisa,mjīisa,trabajador (m),,,,,"broomva_test,broomva_train",2
"mjīte, mjīya, quīj yuupa'ga","mjīte, mjīya, quīj yuupa'ga",por qué? (motivo) (interrog),,,,,broomva_train,1
mllinu,mllinu,el molino,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mllinu cuet,mllinu cuet,la piedra de molino,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
molta ya'ja,molta ya'ja,jigra tejida con agujas grandes,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
molta ya’ja,molta ya’ja,jigra tejida con agujas grandes,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
msuu,msuu,"donde, ¿de dónde? (para abajo), ¿por dónde?",,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
msuuva,msuuva,dondequiera,,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mtee (mdee t,mtee (mdee T),"donde, adonde, ¿dónde? ¿adónde?",,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mtee mteeva,mtee mteeva,en todas partes,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"mtee, mcaa, mdyi i, msuu","mtee, mcaa, mdyi i, msuu","adonde, ¿adonde? (adv)",,,,,"broomva_train,paper_2024",2
"mtee, mgaa","mtee, mgaa","donde, adonde, ¿dónde?, ¿adonde? (adv)",,,,,"broomva_train,paper_2024",2
mteeva,mteeva,dondequiera,,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"mteeva, mtee mteeva","mteeva, mtee mteeva",dondequiera (adv),,,,,"broomva_validation,paper_2024",2
much,much,corto,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024,swarthmore_talking",5
much yuu-,much yuu-,volverse sordo,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
"much-, muchi-","much-, muchi-","acortar, caerse el pelo",,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mujm,mujm,la guadua (especie de bambú),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mum tuca,mum tuca,tarro de guadua,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mum wej,mum wej,puente de guadua,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mum yu'cj,mum yu'cj,guadual (m),,,,,"broomva_train,paper_2024",2
muse,muse,la arena,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mush,mush,menudo,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024,swarthmore_talking",4
mushca (t,mushca (T),blanco (persona de raza blanca),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
mushclé,mushclé,el huarango (árbol),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,paper_2024,swarthmore_talking",3
mushclẽ,mushclẽ,huarango (árbol) (m),,,,,broomva_train,1
"mushi'j-, muushi'ji-","mushi'j-, muushi'ji-",1. despedazar  2. dar cambio (dinero),,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"mushi’j-, muushi’ji-","mushi’j-, muushi’ji-",1. despedazar 2. dar cambio (dinero),,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"musukwe, septiembre a'te 30 1993te","Musukwe, Septiembre a'te 30 1993te.","Mosoco, Septiembre 30 de 1993",,,,,paper_2024,1
"musukwe, septiembre a'te 30 1993tewe's","Musukwe, Septiembre a'te 30 1993tewe's'.","Mosoco, Septiembre 30 de 1993",,,,,paper_2024,1
musukwete khabuwe's,Musukwete Khabuwe's'.,Musukwete Khabuwe's'.,,,,,paper_2024,1
musukwete nasasa ks'av' kiwete ne'hwe's,Musukwete nasasa ks'av' kiwete ne'hwe's',Gobernador del Resguardo,,,,,paper_2024,1
musukwete tuthensa ne'hwe's' we'wen'i,MUSUKWETE TUTHENSA NE'HWE'S' WE'WEN'I,RESGUARDO INDÍGENA DE MOSOCO,,,,,paper_2024,1
mutcue,mutcue,el lulo (planta),lulo,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
muts,muts,"montón, montículo",,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024,swarthmore_talking",4
mutsu-,mutsu-,estar disgustado,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
mutyi,mutyi,el mote,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
muuse'j-,muuse'j-,desmenuzar (v.t),,,,,"broomva_train,paper_2024",2
"muuse'j-, muuse'je-","muuse'j-, muuse'je-","desmenuzar, hacer polvo de",,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"muuse’j-, muuse’je-","muuse’j-, muuse’je-","desmenuzar, hacer polvo de",,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
muushi'j-,muushi'j-,dar cambio (dinero) (v.t),,,,,"broomva_train,paper_2024",2
muutsu'j-,muutsu'j-,hacinar (v.t),,,,,"broomva_train,paper_2024",2
"muutsu'j-, cluuvi'j-","muutsu'j-, cluuvi'j-",amontonar (v.t),,,,,"broomva_train,paper_2024",2
"muutsu'j-, muutsu'ju-","muutsu'j-, muutsu'ju-",amontonar,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"muutsu’j-, muutsu’ju-","muutsu’j-, muutsu’ju-",amontonar,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
muuwe'sh,muuwe'sh,indígena guambiano,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,broomva_validation,living_dictionaries,paper_2024",4
muuwe’sh,muuwe’sh,indígena guambiano,,sustantivo,,Hablante: Francy Yanet,swarthmore_talking,1
muvijty-,muvijty-,mudarse (a otra casa) (v.i),,,,,"broomva_train,paper_2024",2
"muvijty-, muvityíi-","muvijty-, muvityíi-","mudarse de casa, quitarse de, retirarse de",,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
muypesa-,muypesa-,traer (a través),,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
méewéjy,méewéjy,gallinazo,,,,,paper_2024,1
"mẽ', mẽ'we","mẽ', mẽ'we",¡Coma!,,imp,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
mẽ'cjwe,mẽ'cjwe,¡Muélalo!,,imp,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"mẽ'ne, mẽ'newe","mẽ'ne, mẽ'newe",¡Llore!,,imp,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
mẽewẽjy,mẽewẽjy,"el gallinazo, galembo (ave)",vulture,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,swarthmore_talking",3
mẽpa,mẽpa,¡Dispare!,,imp,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"mẽs, mẽswe","mẽs, mẽswe",¡Que esté!,,imp,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"mẽ’, mẽ’we","mẽ’, mẽ’we",¡Coma!,,imperative,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
mẽ’cjwe,mẽ’cjwe,¡Muélalo!,,imperative,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"mẽ’ne, mẽ’newe","mẽ’ne, mẽ’newe",¡Llore!,,imperative,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
na,na',"por consiguiente, así que",,conj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
na'sa' h'ukaysa kaselpi' itháasu'tha'w,Na'sa' h'ukaysa kaselpi' itháasu'tha'w.,Esperamos que este trabajo sea para todos los interesados de utilidad.,,,,,paper_2024,1
na'wé,na'wé,"como, ¿cómo?",,,,,paper_2024,1
na'wé tjeng-,na'wé tjeng-,parecer,,,,,paper_2024,1
"na'wé, na'wéy","na'wé, na'wéy",parecido,,,,,paper_2024,1
"na'wé, tya'wé, cyá'wé","na'wé, tya'wé, cyá'wé",así,,,,,paper_2024,1
na'wẽ,na'wẽ,"como, lo mismo que (adv)",,,,,"broomva_test,broomva_train",2
na'wẽ tjeng-,na'wẽ tjeng-,ser semejante a (v.i),,,,,"broomva_test,broomva_train",2
"na'wẽ, na'wẽy","na'wẽ, na'wẽy","1. así  2. como, parecido",,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries",2
"na'wẽ, tya'wẽ, cyã'wẽ","na'wẽ, tya'wẽ, cyã'wẽ",así (adv),,,,,broomva_train,1
naa,naa,"este, esta, esto",,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
naa pa'ga,naa pa'ga,por eso,,conj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"naa pa'ga, tyáa pa'ga, cyáa pa'ga","naa pa'ga, tyáa pa'ga, cyáa pa'ga",porque,,,,,paper_2024,1
